"city","city_code","distance_bin","r_mid_km","f_r","p_r","pi_r"
"Tianjin","TJN","[10.5, 11.0)","10.75","208362","977","213.267144319345"
"Tianjin","TJN","[11.0, 11.5)","11.25","187202","979","191.217568947906"
"Tianjin","TJN","[11.5, 12.0)","11.75","143733","897","160.23745819398"
"Tianjin","TJN","[12.0, 12.5)","12.25","166990","952","175.409663865546"
"Tianjin","TJN","[12.5, 13.0)","12.75","119115","821","145.085261875761"
"Tianjin","TJN","[13.0, 13.5)","13.25","128537","783","164.159642401022"
"Tianjin","TJN","[13.5, 14.0)","13.75","113838","791","143.916561314791"
"Tianjin","TJN","[14.0, 14.5)","14.25","95584","676","141.396449704142"
"Tianjin","TJN","[14.5, 15.0)","14.75","85984","705","121.963120567376"
"Tianjin","TJN","[15.0, 15.5)","15.25","70731","603","117.298507462687"
"Tianjin","TJN","[15.5, 16.0)","15.75","68668","587","116.981260647359"
"Tianjin","TJN","[16.0, 16.5)","16.25","56089","575","97.5460869565217"
"Tianjin","TJN","[16.5, 17.0)","16.75","42172","475","88.7831578947368"
"Tianjin","TJN","[17.0, 17.5)","17.25","52650","499","105.511022044088"
"Tianjin","TJN","[17.5, 18.0)","17.75","41594","437","95.1807780320366"
"Tianjin","TJN","[18.0, 18.5)","18.25","30950","434","71.3133640552995"
"Tianjin","TJN","[18.5, 19.0)","18.75","27503","367","74.9400544959128"
"Tianjin","TJN","[19.0, 19.5)","19.25","33140","375","88.3733333333333"
"Tianjin","TJN","[19.5, 20.0)","19.75","25757","356","72.3511235955056"
"Tianjin","TJN","[20.0, 20.5)","20.25","27301","286","95.458041958042"
"Tianjin","TJN","[20.5, 21.0)","20.75","18007","239","75.3430962343096"
"Tianjin","TJN","[21.0, 21.5)","21.25","18206","240","75.8583333333333"
"Tianjin","TJN","[21.5, 22.0)","21.75","36456","239","152.535564853556"
"Tianjin","TJN","[22.0, 22.5)","22.25","17391","200","86.955"
"Tianjin","TJN","[22.5, 23.0)","22.75","22199","178","124.713483146067"
"Tianjin","TJN","[23.0, 23.5)","23.25","22935","185","123.972972972973"
"Tianjin","TJN","[23.5, 24.0)","23.75","13426","159","84.440251572327"
"Tianjin","TJN","[24.0, 24.5)","24.25","15008","141","106.439716312057"
"Tianjin","TJN","[24.5, 25.0)","24.75","11027","169","65.2485207100592"
"Tianjin","TJN","[25.0, 25.5)","25.25","9220","100","92.2"
"Tianjin","TJN","[25.5, 26.0)","25.75","9336","118","79.1186440677966"
"Tianjin","TJN","[26.0, 26.5)","26.25","17242","104","165.788461538462"
"Tianjin","TJN","[26.5, 27.0)","26.75","10563","76","138.986842105263"
"Tianjin","TJN","[27.0, 27.5)","27.25","5523","75","73.64"
"Tianjin","TJN","[27.5, 28.0)","27.75","11971","71","168.605633802817"
"Tianjin","TJN","[28.0, 28.5)","28.25","6886","80","86.075"
"Tianjin","TJN","[28.5, 29.0)","28.75","11324","73","155.123287671233"
"Tianjin","TJN","[29.0, 29.5)","29.25","2421","48","50.4375"
"Tianjin","TJN","[29.5, 30.0)","29.75","2684","66","40.6666666666667"
"Tianjin","TJN","[30.0, 30.5)","30.25","5652","37","152.756756756757"
"Tianjin","TJN","[30.5, 31.0)","30.75","3924","50","78.48"
"Tianjin","TJN","[31.0, 31.5)","31.25","6733","49","137.408163265306"
"Tianjin","TJN","[31.5, 32.0)","31.75","2100","30","70"
"Tianjin","TJN","[32.0, 32.5)","32.25","3595","46","78.1521739130435"
"Tianjin","TJN","[32.5, 33.0)","32.75","8324","40","208.1"
"Tianjin","TJN","[33.0, 33.5)","33.25","11025","44","250.568181818182"
"Tianjin","TJN","[33.5, 34.0)","33.75","2003","57","35.140350877193"
"Tianjin","TJN","[34.0, 34.5)","34.25","3875","40","96.875"
"Tianjin","TJN","[34.5, 35.0)","34.75","2041","34","60.0294117647059"
"Tianjin","TJN","[35.0, 35.5)","35.25","11682","36","324.5"
"Tianjin","TJN","[35.5, 36.0)","35.75","2998","41","73.1219512195122"
"Tianjin","TJN","[36.0, 36.5)","36.25","3532","33","107.030303030303"
"Tianjin","TJN","[36.5, 37.0)","36.75","3930","37","106.216216216216"
"Tianjin","TJN","[37.0, 37.5)","37.25","7564","58","130.413793103448"
"Tianjin","TJN","[37.5, 38.0)","37.75","6485","40","162.125"
"Tianjin","TJN","[38.0, 38.5)","38.25","3658","50","73.16"
"Tianjin","TJN","[38.5, 39.0)","38.75","8809","60","146.816666666667"
"Tianjin","TJN","[39.0, 39.5)","39.25","7030","57","123.333333333333"
"Tianjin","TJN","[39.5, 40.0)","39.75","6758","54","125.148148148148"
"Tianjin","TJN","[40.0, 40.5)","40.25","2987","49","60.9591836734694"
"Tianjin","TJN","[40.5, 41.0)","40.75","18456","53","348.22641509434"
"Tianjin","TJN","[41.0, 41.5)","41.25","10078","62","162.548387096774"
