city,a_km,b_km,window_width_km,alpha_hat,ks_distance,bins,trips_in_window,pairs_in_window,bootstrap_replicates,effective_sample_size,bootstrap_p_value,alpha_ci_lower,alpha_ci_upper
London,3.5,11.5,8.0,1.0000631296260973,0.00480530472053442,16,619261193.0,57813.0,800,5313.271184,0.85625,0.9229756903794827,1.0797094778569631
NYC,3.5,10.5,7.0,1.0462583797600298,0.004352842711336735,14,136282599.23000002,64144.0,800,6105.86764,0.865,0.9634044564513174,1.1296350639649433
Tokyo,3.5,52.0,48.5,1.1427572050899508,0.002658547835746067,97,7469713.0,634861.0,800,22861.980434,0.86,1.1237356487293584,1.1623388443265668
Taipei,5.5,14.0,8.5,1.1386245363729535,0.006521972651808566,17,331771909.0,7407.0,800,1939.314188,0.9225,0.9533625698645324,1.3128940145727406
Tianjin,5.5,11.5,6.0,0.8335540100311974,0.003017526245327251,12,3177150.0,12162.0,800,2037.202348,1.0,0.6350987885292418,1.0586025113186872
